Warming up --------------------------------------
Run large introspection
                         1.000  i/100ms
Calculating -------------------------------------
Run large introspection
                          4.423  (± 0.0%) i/s -     22.000  in   5.005526s
==================================
  Mode: wall(10)
  Samples: 214187 (2.33% miss rate)
  GC: 539 (0.25%)
==================================
     TOTAL    (pct)     SAMPLES    (pct)     FRAME
    108037  (50.4%)           1   (0.0%)     GraphQL::Execution::Multiplex.instrument_and_analyze
    108035  (50.4%)           1   (0.0%)     GraphQL::Execution::Instrumentation.call_hooks
       950   (0.4%)           1   (0.0%)     GraphQL::Analysis::AST.analyze_multiplex
       524   (0.2%)           1   (0.0%)     GraphQL::Query#prepare_ast
         1   (0.0%)           1   (0.0%)     GraphQL::Language::Parser#initialize
       357   (0.2%)           1   (0.0%)     GraphQL.scan
         1   (0.0%)           1   (0.0%)     Integer#<<
         6   (0.0%)           1   (0.0%)     GraphQL::Language::Parser#_reduce_105
         1   (0.0%)           1   (0.0%)     GraphQL::Schema.validate_timeout
         1   (0.0%)           1   (0.0%)     GraphQL::Query::Context#interpreter?
       418   (0.2%)           1   (0.0%)     GraphQL::StaticValidation::Validator#validate
         1   (0.0%)           1   (0.0%)     GraphQL::Schema.analysis_engine
         1   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::ValidationContext#document
         8   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::DirectivesAreDefined#initialize
         2   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::FragmentNamesAreUnique#initialize
         5   (0.0%)           1   (0.0%)     GraphQL::Schema.directives
         1   (0.0%)           1   (0.0%)     Hash#merge
       402   (0.2%)           1   (0.0%)     GraphQL::Language::Visitor#visit
       401   (0.2%)           1   (0.0%)     GraphQL::Language::Visitor#on_node_with_modifications
       379   (0.2%)           1   (0.0%)     GraphQL::StaticValidation::VariablesAreUsedAndDefined#on_document
       156   (0.1%)           1   (0.0%)     GraphQL::StaticValidation::BaseVisitor::ContextMethods#on_operation_definition
       154   (0.1%)           1   (0.0%)     GraphQL::StaticValidation::OperationNamesAreValid#on_operation_definition
       140   (0.1%)           1   (0.0%)     GraphQL::StaticValidation::VariableUsagesAreAllowed#on_operation_definition
         2   (0.0%)           1   (0.0%)     GraphQL::Schema::Warden#root_type_for_operation
         5   (0.0%)           1   (0.0%)     GraphQL::Language::Nodes::Field#children
         1   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::BaseVisitor::ContextMethods#push_type
        48   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::FieldsWillMerge#find_conflicts_between_fields_and_fragment
         1   (0.0%)           1   (0.0%)     Set#initialize
         2   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::DefinitionDependencies#initialize
        27   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::BaseVisitor::ContextMethods#on_argument
         8   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::LiteralValidator#validate
         3   (0.0%)           1   (0.0%)     GraphQL::Schema::Member::ValidatesInput#validate_input
         1   (0.0%)           1   (0.0%)     GraphQL::Language::Visitor#on_fragment_spread
       205   (0.1%)           1   (0.0%)     GraphQL::StaticValidation::BaseVisitor::ContextMethods#on_fragment_with_type
       205   (0.1%)           1   (0.0%)     GraphQL::StaticValidation::BaseVisitor::ContextMethods#on_fragment_definition
       202   (0.1%)           1   (0.0%)     GraphQL::StaticValidation::FragmentsAreNamed#on_fragment_definition
       199   (0.1%)           1   (0.0%)     GraphQL::StaticValidation::FragmentsAreOnCompositeTypes#on_fragment_definition
         3   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::FragmentsAreOnCompositeTypes#validate_type_is_composite
       195   (0.1%)           1   (0.0%)     GraphQL::StaticValidation::VariablesAreUsedAndDefined#on_fragment_definition
         4   (0.0%)           1   (0.0%)     GraphQL::Schema::Member::HasArguments#get_argument
         1   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::ValidationContext#field_definition
         2   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::ValidationContext#fragments
         1   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::ValidationContext#object_types
