Warming up --------------------------------------
Run large introspection
                         1.000  i/100ms
Calculating -------------------------------------
Run large introspection
                          4.273  (± 0.0%) i/s -     22.000  in   5.151236s
==================================
  Mode: wall(10)
  Samples: 180758 (2.08% miss rate)
  GC: 866 (0.48%)
==================================
     TOTAL    (pct)     SAMPLES    (pct)     FRAME
        69   (0.0%)          55   (0.0%)     GraphQL::Schema.visible?
        55   (0.0%)          55   (0.0%)     Hash#initialize
        52   (0.0%)          51   (0.0%)     GraphQL::Schema::Wrapper#unwrap
        68   (0.0%)          48   (0.0%)     GraphQL::BaseType::ModifiesAnotherType#unwrap
        98   (0.1%)          47   (0.0%)     GraphQL::Schema::Member::HasInterfaces#interfaces
       270   (0.1%)          43   (0.0%)     GraphQL::Introspection::FieldType#is_deprecated
        43   (0.0%)          43   (0.0%)     String#encoding
        42   (0.0%)          42   (0.0%)     GraphQL::Execution::Interpreter::ArgumentValue#initialize
        40   (0.0%)          40   (0.0%)     GraphQL::Schema::Enum.kind
       104   (0.1%)          38   (0.0%)     GraphQL::Introspection::FieldType#args
       300   (0.2%)          37   (0.0%)     GraphQL::Introspection::InputValueType#is_deprecated
       849   (0.5%)          36   (0.0%)     GraphQL::StaticValidation::BaseVisitor::ContextMethods#on_field
        78   (0.0%)          36   (0.0%)     GraphQL::Introspection::InputValueType#default_value
        36   (0.0%)          36   (0.0%)     GraphQL::Schema::NonNull#kind
        63   (0.0%)          35   (0.0%)     GraphQL::BaseType::ModifiesAnotherType#unwrap
        33   (0.0%)          33   (0.0%)     Hash#initialize_copy
        32   (0.0%)          32   (0.0%)     Array#concat
      2331   (1.3%)          30   (0.0%)     GraphQL::Schema::FieldExtension#resolve
        82   (0.0%)          29   (0.0%)     Enumerable#select
        41   (0.0%)          29   (0.0%)     Set#include?
        28   (0.0%)          28   (0.0%)     Array#shift
       917   (0.5%)          28   (0.0%)     GraphQL::Language::Visitor#on_abstract_node
        28   (0.0%)          28   (0.0%)     GraphQL::Schema::Argument#description
       221   (0.1%)          27   (0.0%)     GraphQL::Schema::Warden#get_field
        27   (0.0%)          27   (0.0%)     Module#ancestors
        37   (0.0%)          27   (0.0%)     GraphQL::Schema::Member::HasFields#visible_interface_implementation?
        95   (0.1%)          26   (0.0%)     Method#call
        25   (0.0%)          25   (0.0%)     GraphQL::Schema::Argument#default_value?
        61   (0.0%)          23   (0.0%)     GraphQL::Schema::Member::HasArguments#validate_directive_argument
