Warming up --------------------------------------
Querying for 1000 objects
                         1.000  i/100ms
Calculating -------------------------------------
Querying for 1000 objects
                          3.335  (± 0.0%) i/s -     17.000  in   5.101803s
==================================
  Mode: wall(1)
  Samples: 635355 (45.11% miss rate)
  GC: 4965 (0.78%)
==================================
     TOTAL    (pct)     SAMPLES    (pct)     FRAME
         3   (0.0%)           3   (0.0%)     GraphQL::Schema::Member::HasFields#own_fields
         3   (0.0%)           3   (0.0%)     Enumerable#group_by
       424   (0.1%)           3   (0.0%)     GraphQL::Analysis::AST.analyze_multiplex
         4   (0.0%)           3   (0.0%)     GraphQL::Query::Context#namespace
         7   (0.0%)           3   (0.0%)     GraphQL::Query#prepare_ast
         3   (0.0%)           3   (0.0%)     GraphQL::Schema::Warden#interface_type_memberships
       140   (0.0%)           3   (0.0%)     GraphQL::StaticValidation::FieldsWillMerge#setting_errors
         3   (0.0%)           3   (0.0%)     Module#<=
         3   (0.0%)           3   (0.0%)     GraphQL::TypeKinds::TypeKind#object?
       381   (0.1%)           3   (0.0%)     GraphQL::Language::Visitor#on_node_with_modifications
         8   (0.0%)           3   (0.0%)     Array#select
         5   (0.0%)           3   (0.0%)     GraphQL::StaticValidation::VariableUsagesAreAllowed#non_null_levels_match
    322219  (50.7%)           3   (0.0%)     Enumerable#each_with_index
         4   (0.0%)           3   (0.0%)     GraphQL::StaticValidation::VariablesAreUsedAndDefined#initialize
       206   (0.0%)           3   (0.0%)     GraphQL::StaticValidation::ArgumentNamesAreUnique#on_field
    322194  (50.7%)           3   (0.0%)     GraphQL::Execution::Interpreter::Runtime#run_eager
       209   (0.0%)           3   (0.0%)     GraphQL::StaticValidation::RequiredArgumentsArePresent#on_field
         2   (0.0%)           2   (0.0%)     GraphQL::TypeKinds::TypeKind#scalar?
       374   (0.1%)           2   (0.0%)     GraphQL::StaticValidation::VariablesAreUsedAndDefined#on_document
       136   (0.0%)           2   (0.0%)     GraphQL::StaticValidation::FieldsWillMerge#conflicts_within_selection_set
        21   (0.0%)           2   (0.0%)     GraphQL::Schema::Member::HasArguments#coerce_arguments
         5   (0.0%)           2   (0.0%)     GraphQL::Schema::Argument#prepare_value
       380   (0.1%)           2   (0.0%)     GraphQL::StaticValidation::OperationNamesAreValid#on_document
         2   (0.0%)           2   (0.0%)     GraphQL::Schema::Member::HasValidators#validators
       381   (0.1%)           2   (0.0%)     GraphQL::Language::Visitor#visit_node
         9   (0.0%)           2   (0.0%)     Method#call
         5   (0.0%)           2   (0.0%)     GraphQL::StaticValidation::ValidationContext#warden
       336   (0.1%)           2   (0.0%)     GraphQL::StaticValidation::DefinitionDependencies#on_operation_definition
         2   (0.0%)           2   (0.0%)     Hash#delete
         2   (0.0%)           2   (0.0%)     GraphQL::Execution::Interpreter::Runtime#final_result
         2   (0.0%)           2   (0.0%)     Hash#merge
         4   (0.0%)           2   (0.0%)     GraphQL::Schema.instrumenters
         2   (0.0%)           2   (0.0%)     GraphQL::Execution::Interpreter#initialize
       323   (0.1%)           2   (0.0%)     GraphQL::StaticValidation::FieldsAreDefinedOnType#on_field
    332091  (52.3%)           2   (0.0%)     GraphQL::Execution::Multiplex.run_as_multiplex
         2   (0.0%)           2   (0.0%)     GraphQL::Analysis::AST.analyze_query
         4   (0.0%)           2   (0.0%)     GraphQL::Execution::Interpreter::Runtime#initialize
         2   (0.0%)           2   (0.0%)     GraphQL::TypeKinds::TypeKind#non_null?
    332532  (52.3%)           2   (0.0%)     GraphQL::Execution::Multiplex.run_queries
         6   (0.0%)           2   (0.0%)     GraphQL::Schema::Member::HasArguments#get_argument
         4   (0.0%)           2   (0.0%)     GraphQL::Filter#merge
         2   (0.0%)           2   (0.0%)     Kernel#Array
        11   (0.0%)           2   (0.0%)     GraphQL::Query#initialize
       128   (0.0%)           2   (0.0%)     GraphQL::StaticValidation::FieldsWillMerge#find_fields_and_fragments
         1   (0.0%)           1   (0.0%)     GraphQL::TypeKinds::TypeKind#interface?
         3   (0.0%)           1   (0.0%)     GraphQL::Schema.subscription_execution_strategy
         2   (0.0%)           1   (0.0%)     GraphQL::Query::Context#initialize
    332525  (52.3%)           1   (0.0%)     GraphQL::Execution::Multiplex.instrument_and_analyze
         1   (0.0%)           1   (0.0%)     GraphQL::Schema.multiplex_analyzers
        17   (0.0%)           1   (0.0%)     GraphQL::Schema::Warden#initialize
         1   (0.0%)           1   (0.0%)     GraphQL::Query#find_operation
       407   (0.1%)           1   (0.0%)     GraphQL::Query::ValidationPipeline#valid?
         1   (0.0%)           1   (0.0%)     GraphQL::Query::Context#interpreter?
        14   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::ValidationContext#initialize
         4   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::OperationNamesAreValid#initialize
         4   (0.0%)           1   (0.0%)     GraphQL::Query#warden
        15   (0.0%)           1   (0.0%)     Enumerable#select
         1   (0.0%)           1   (0.0%)     GraphQL::Schema::Member::BaseDSLMethods#overridden_graphql_name
       386   (0.1%)           1   (0.0%)     Timeout.timeout
         4   (0.0%)           1   (0.0%)     Array#-
       368   (0.1%)           1   (0.0%)     GraphQL::StaticValidation::BaseVisitor::ContextMethods#on_operation_definition
       367   (0.1%)           1   (0.0%)     block (2 levels) in <module:UniqueDirectivesPerLocation>
       122   (0.0%)           1   (0.0%)     GraphQL::Query#get_field
       132   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::FieldsWillMerge#fields_and_fragments_from_selection
         6   (0.0%)           1   (0.0%)     GraphQL::Schema::Member::BaseDSLMethods#introspection?
         1   (0.0%)           1   (0.0%)     GraphQL::TypeKinds::TypeKind#union?
         3   (0.0%)           1   (0.0%)     GraphQL::Schema::Warden#referenced?
       343   (0.1%)           1   (0.0%)     GraphQL::StaticValidation::VariableNamesAreUnique#on_operation_definition
       341   (0.1%)           1   (0.0%)     GraphQL::StaticValidation::VariablesAreUsedAndDefined#on_operation_definition
         1   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::ValidationContext#path
       337   (0.1%)           1   (0.0%)     GraphQL::StaticValidation::QueryRootExists#on_operation_definition
         1   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::VariablesAreInputTypes#get_type_name
         1   (0.0%)           1   (0.0%)     GraphQL::Schema.own_types
         3   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::VariableDefaultValuesAreCorrectlyTyped#on_variable_definition
         2   (0.0%)           1   (0.0%)     Array#none?
       322   (0.1%)           1   (0.0%)     GraphQL::StaticValidation::FieldsWillMerge#on_field
         1   (0.0%)           1   (0.0%)     GraphQL::Query::NullContext.warden
         1   (0.0%)           1   (0.0%)     GraphQL::Schema::Member::HasInterfaces#own_interface_type_memberships
         4   (0.0%)           1   (0.0%)     GraphQL::Schema::Warden#interfaces
        15   (0.0%)           1   (0.0%)     GraphQL::Schema::Member::HasFields#get_field
         1   (0.0%)           1   (0.0%)     GraphQL::Schema::Member::HasFields#own_fields
         1   (0.0%)           1   (0.0%)     GraphQL::Schema::Interface::DefinitionMethods#kind
       206   (0.0%)           1   (0.0%)     GraphQL::Language::Visitor#on_field
         1   (0.0%)           1   (0.0%)     BasicObject#equal?
        55   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::DirectivesAreDefined#on_directive
         2   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::DirectivesAreInValidLocations#validate_location
         1   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::DirectivesAreInValidLocations#assert_includes_location
        23   (0.0%)           1   (0.0%)     GraphQL::Schema::Member::HasArguments#arguments
         1   (0.0%)           1   (0.0%)     GraphQL::Schema::Member::CachedGraphQLDefinition#type_class
         9   (0.0%)           1   (0.0%)     GraphQL::Schema::Warden#get_argument
         3   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::ArgumentNamesAreUnique#validate_arguments
        18   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::ArgumentLiteralsAreCompatible#on_argument
         1   (0.0%)           1   (0.0%)     GraphQL::TypeKinds::TypeKind#list?
         1   (0.0%)           1   (0.0%)     GraphQL::Language::Nodes::VariableIdentifier#visit_method
         1   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::FieldsWillMerge#find_conflicts_within
         1   (0.0%)           1   (0.0%)     GraphQL::StaticValidation::VariablesAreUsedAndDefined::VariableUsage#used?
         2   (0.0%)           1   (0.0%)     Hash#select
         2   (0.0%)           1   (0.0%)     GraphQL::Query#analyzers
    322202  (50.7%)           1   (0.0%)     GraphQL::Execution::Multiplex.begin_query
    322199  (50.7%)           1   (0.0%)     GraphQL::Execution::Interpreter.begin_query
         1   (0.0%)           1   (0.0%)     Kernel#method
         1   (0.0%)           1   (0.0%)     GraphQL::Schema.root_type_for_operation
         1   (0.0%)           1   (0.0%)     GraphQL::Schema::Member::HasArguments#validate_directive_argument
         6   (0.0%)           1   (0.0%)     GraphQL::Schema.interpreter?
         3   (0.0%)           1   (0.0%)     GraphQL::Query::Context#delete
    322196  (50.7%)           0   (0.0%)     GraphQL::Execution::Interpreter#evaluate
      9840   (1.5%)           0   (0.0%)     GraphQL::Execution::Interpreter::Resolve.resolve_all
         2   (0.0%)           0   (0.0%)     GraphQL::Query::Variables#initialize
         2   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::VariablesAreUsedAndDefined#create_errors
         1   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::DefinitionDependencies::DependencyMap#initialize
         2   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::DefinitionDependencies#dependency_map
         2   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::DefinitionDependencies#resolve_dependencies
         1   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::BaseVisitor::ContextMethods#type_definition
         5   (0.0%)           0   (0.0%)     GraphQL::Language::Visitor#on_argument
         2   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::VariableUsagesAreAllowed#list_dimension
        10   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::VariableUsagesAreAllowed#validate_usage
        17   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::VariableUsagesAreAllowed#on_argument
        18   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::ArgumentsAreDefined#on_argument
        24   (0.0%)           0   (0.0%)     GraphQL::Language::Visitor#on_directive
        24   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::BaseVisitor::ContextMethods#on_argument
        26   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::ArgumentNamesAreUnique#on_directive
        52   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::RequiredArgumentsArePresent#on_directive
        54   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::DirectivesAreInValidLocations#on_directive
        55   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::BaseVisitor::ContextMethods#on_directive
         2   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::UniqueDirectivesPerLocation#validate_directive_location
         2   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::ValidationContext#schema_directives
         3   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::BaseVisitor::ContextMethods#field_definition
        37   (0.0%)           0   (0.0%)     GraphQL::Schema::Warden#field_on_visible_interface?
         3   (0.0%)           0   (0.0%)     GraphQL::Schema::Warden#unfiltered_interfaces
         5   (0.0%)           0   (0.0%)     GraphQL::Schema::Member::HasInterfaces#interfaces
         2   (0.0%)           0   (0.0%)     GraphQL::Schema::Warden#visible_type_membership?
         1   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::LiteralValidator#maybe_raise_if_invalid
         1   (0.0%)           0   (0.0%)     GraphQL::Schema.error_bubbling
         2   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::ValidationContext#validate_literal
         2   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::LiteralValidator#validate
         2   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::LiteralValidator#recursively_validate
         1   (0.0%)           0   (0.0%)     GraphQL::Schema.get_type
         3   (0.0%)           0   (0.0%)     GraphQL::Schema::Warden#get_type
       334   (0.1%)           0   (0.0%)     GraphQL::Language::Visitor#on_operation_definition
         8   (0.0%)           0   (0.0%)     GraphQL::StaticValidation::VariablesAreInputTypes#on_variable_definition
       336   (0.1%)           0   (0.0%)     GraphQL::StaticValidation::SubscriptionRootExists#on_operation_definition
       337   (0.1%)           0   (0.0%)     GraphQL::StaticValidation::VariableUsagesAreAllowed#on_operation_definition
       337   (0.1%)           0   (0.0%)     GraphQL::StaticValidation::MutationRootExists#on_operation_definition
       345   (0.1%)           0   (0.0%)     GraphQL::StaticValidation::FieldsHaveAppropriateSelections#on_operation_definition
         1   (0.0%)           0   (0.0%)     GraphQL::Schema.references_to
         5   (0.0%)           0   (0.0%)     GraphQL::Schema::Warden#visible_type?
       366   (0.1%)           0   (0.0%)     GraphQL::StaticValidation::FieldsWillMerge#on_operation_definition
